"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"07/22/2026","Journal","","TRANSFER FUNDS FROM SCHWAB BANK - ...196","","","","$2586.34"
"07/22/2026","Buy","QQQ","INVESCO QQQ TR","7","$708.7608","","-$4961.33"
"07/22/2026","Journal","","TRANSFER FUNDS FROM SCHWAB BANK - ...196","","","","$11000.00"
"07/22/2026","MoneyLink Deposit","","META","","","","$500.00"
"07/17/2026","MoneyLink Deposit","","META","","","","$500.00"
"07/16/2026 as of 07/15/2026","Bank Interest","","BANK INT ...526 SCHWAB BANK","","","","$0.01"
"07/15/2026","Buy","SWPPX","SCHWAB S&P ...500 INDEX","15.369","$19.52","","-$300.00"
"07/10/2026","Tax Withhold","QQQ","INVESCO QQQ TR","","","","-$5.66"
"07/10/2026","Cash Dividend","QQQ","INVESCO QQQ TR","","","","$23.59"
"07/02/2026","MoneyLink Deposit","","META","","","","$500.00"
"07/01/2026","Buy","SWPPX","SCHWAB S&P ...500 INDEX","15.56","$19.28","","-$300.00"
"06/30/2026","Tax Withhold","VOO","VANGUARD S&P ...500 ETF","","","","-$9.89"
"06/30/2026","Cash Dividend","VOO","VANGUARD S&P ...500 ETF","","","","$41.21"
"06/26/2026","Reinvest Shares","NVDA","NVIDIA CORP","0.2098","$194.6785","","-$40.85"
"06/26/2026","Tax Withhold","NVDA","NVIDIA CORP","","","","-$12.90"
"06/26/2026","Qual Div Reinvest","NVDA","NVIDIA CORP","","","","$53.75"
"06/25/2026","Tax Withhold","META","META PLATFORMS INC CLASS A","","","","-$14.49"
"06/25/2026","Qualified Dividend","META","META PLATFORMS INC CLASS A","","","","$60.38"
"06/18/2026","MoneyLink Deposit","","META","","","","$500.00"
"06/16/2026 as of 06/15/2026","Bank Interest","","BANK INT ...526 SCHWAB BANK","","","","$0.02"
"06/15/2026","Buy","SWPPX","SCHWAB S&P ...500 INDEX","15.416","$19.46","","-$300.00"
"06/05/2026","MoneyLink Deposit","","META","","","","$500.00"
"06/01/2026","Buy","SWPPX","SCHWAB S&P ...500 INDEX","15.337","$19.56","","-$300.00"
"05/22/2026","MoneyLink Deposit","","META","","","","$500.00"
"05/19/2026","Buy","INTC","INTEL CORP","95","$111.89","","-$10629.55"
"05/18/2026 as of 05/15/2026","Stock Plan Activity","META","META PLATFORMS INC CLASS CLASS A","12","","",""
"05/18/2026 as of 05/15/2026","Stock Plan Activity","META","META PLATFORMS INC CLASS CLASS A","2","","",""
"05/18/2026 as of 05/15/2026","Stock Plan Activity","META","META PLATFORMS INC CLASS CLASS A","1","","",""
"05/18/2026 as of 05/15/2026","Schwab Bank Int Adj","","BANK INT ...526","","","","-$0.02"
"05/18/2026 as of 05/15/2026","Bank Interest","","BANK INT ...526 SCHWAB BANK","","","","$0.09"
"05/15/2026","Buy","SWPPX","SCHWAB S&P ...500 INDEX","15.74","$19.06","","-$300.00"
"05/08/2026","MoneyLink Deposit","","META","","","","$500.00"
"05/01/2026","Buy","SWPPX","SCHWAB S&P ...500 INDEX","16.138","$18.59","","-$300.00"
"04/24/2026","MoneyLink Deposit","","META","","","","$500.00"
"04/16/2026 as of 04/15/2026","Bank Interest","","BANK INT ...526 SCHWAB BANK","","","","$0.01"
"04/15/2026","Buy","SWPPX","SCHWAB S&P ...500 INDEX","16.621","$18.05","","-$300.00"
"04/14/2026","Sell","AAPL","APPLE INC","18","$258.60","$0.10","$4654.70"
"04/14/2026","Sell","COST","COSTCO WHSL CORP NEW","6.0059","$974.0805","$0.12","$5850.11"
"04/10/2026","MoneyLink Deposit","","META","","","","$500.00"
"04/01/2026","Reinvest Shares","NVDA","NVIDIA CORP","0.0093","$175.9096","","-$1.63"
"04/01/2026","Tax Withhold","NVDA","NVIDIA CORP","","","","-$0.52"
"04/01/2026","Qual Div Reinvest","NVDA","NVIDIA CORP","","","","$2.15"
"03/31/2026","Tax Withhold","VOO","VANGUARD S&P ...500 ETF","","","","-$9.44"
"03/31/2026","Cash Dividend","VOO","VANGUARD S&P ...500 ETF","","","","$39.32"
"03/27/2026","Tax Withhold","QQQ","INVESCO QQQ TR","","","","-$5.10"
"03/27/2026","Cash Dividend","QQQ","INVESCO QQQ TR","","","","$21.25"
"03/26/2026","Tax Withhold","META","META PLATFORMS INC CLASS CLASS A","","","","-$12.60"
"03/26/2026","Qualified Dividend","META","META PLATFORMS INC CLASS CLASS A","","","","$52.50"
"03/16/2026","Buy","SWPPX","SCHWAB S&P ...500 INDEX","17.432","$17.21","","-$300.00"
"03/13/2026","MoneyLink Deposit","","META","","","","$500.00"
"03/02/2026","Buy","SWPPX","SCHWAB S&P ...500 INDEX","16.988","$17.66","","-$300.00"
"02/27/2026","MoneyLink Deposit","","META","","","","$300.00"
"02/18/2026","Stock Plan Activity","META","META PLATFORMS INC CLASS CLASS A","12","","",""
"02/18/2026","Stock Plan Activity","META","META PLATFORMS INC CLASS CLASS A","2","","",""
"02/13/2026","Reinvest Shares","COST","COSTCO WHSL CORP NEW","0.0059","$1010.8997","","-$5.93"
"02/13/2026","Tax Withhold","COST","COSTCO WHSL CORP NEW","","","","-$1.87"
"02/13/2026","Qual Div Reinvest","COST","COSTCO WHSL CORP NEW","","","","$7.80"
"02/12/2026","Tax Withhold","AAPL","APPLE INC","","","","-$1.12"
"02/12/2026","Qualified Dividend","AAPL","APPLE INC","","","","$4.68"
"01/30/2026","MoneyLink Transfer","","Tfr JPMORGAN CHASE BAN","","","","-$172.75"
"01/29/2026","Buy","AAPL","APPLE INC","16","$257.825","","-$4125.20"
"01/29/2026","Sell","IOT","SAMSARA INC CLASS A","149","$28.5801","$0.03","$4258.40"
"01/21/2026","Buy","INTC","INTEL CORP","150","$53.64","","-$8046.00"
"01/21/2026","Sell","IOT","SAMSARA INC CLASS A","250","$32.20","$0.05","$8049.95"
"01/20/2026","Buy","INTC","INTEL CORP","8","$49.4063","","-$395.25"
"01/16/2026","MoneyLink Deposit","","META","","","","$264.46"
"01/16/2026 as of 01/15/2026","Bank Interest","","BANK INT ...526 SCHWAB BANK","","","","$0.01"
"01/12/2026","Buy","INTC","INTEL CORP","40","$44.63","","-$1785.20"
"01/02/2026","MoneyLink Deposit","","META","","","","$264.44"
"12/31/2025","Tax Withhold","QQQ","INVSC QQQ TRUST SRS 1 ETF","","","","-$5.53"
"12/31/2025","Cash Dividend","QQQ","INVSC QQQ TRUST SRS 1 ETF","","","","$23.03"
"12/26/2025","Reinvest Shares","NVDA","NVIDIA CORP","0.0085","$191.281","","-$1.63"
"12/26/2025","Qual Div Reinvest","NVDA","NVIDIA CORP","","","","$2.15"
"12/26/2025","Tax Withhold","NVDA","NVIDIA CORP","","","","-$0.52"
"12/24/2025","Tax Withhold","VOO","VANGUARD S&P ...500 ETF","","","","-$8.93"
"12/24/2025","Cash Dividend","VOO","VANGUARD S&P ...500 ETF","","","","$37.19"
"12/23/2025","Tax Withhold","META","META PLATFORMS INC CLASS A","","","","-$10.84"
"12/23/2025","Qualified Dividend","META","META PLATFORMS INC CLASS A","","","","$45.15"
"12/19/2025","MoneyLink Deposit","","META","","","","$500.00"
"12/16/2025 as of 12/15/2025","Schwab Bank Int Adj","","BANK INT ...525","","","","-$0.01"
"12/16/2025 as of 12/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.04"
"12/15/2025","Buy","SWPPX","SCHWAB S&P ...500 INDEX","28.637","$17.46","","-$500.00"
"12/12/2025","Tax Withhold","SWPPX","SCHWAB S&P ...500 INDEX","","","","-$0.27"
"12/12/2025","Reinvest Dividend","SWPPX","SCHWAB S&P ...500 INDEX","","","","$1.11"
"12/12/2025","Reinvest Shares","SWPPX","SCHWAB S&P ...500 INDEX","0.048","$17.48","","-$0.84"
"12/05/2025","MoneyLink Deposit","","META","","","","$500.00"
"11/21/2025","MoneyLink Deposit","","META","","","","$500.00"
"11/18/2025 as of 11/17/2025","Stock Plan Activity","META","META PLATFORMS INC CLASS A","14","","",""
"11/18/2025 as of 11/17/2025","Stock Plan Activity","META","META PLATFORMS INC CLASS A","2","","",""
"11/17/2025 as of 11/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.01"
"11/14/2025","Tax Withhold","COST","COSTCO WHSL CORP NEW","","","","-$1.87"
"11/14/2025","Qualified Dividend","COST","COSTCO WHSL CORP NEW","","","","$7.80"
"11/13/2025","Tax Withhold","AAPL","APPLE INC","","","","-$0.12"
"11/13/2025","Qualified Dividend","AAPL","APPLE INC","","","","$0.52"
"11/07/2025","MoneyLink Deposit","","META","","","","$500.00"
"11/04/2025","Buy","SWPPX","SCHWAB S&P ...500 INDEX","5.714","$17.50","","-$100.00"
"10/31/2025","Tax Withhold","QQQ","INVSC QQQ TRUST SRS 1 ETF","","","","-$4.83"
"10/31/2025","Cash Dividend","QQQ","INVSC QQQ TRUST SRS 1 ETF","","","","$20.12"
"10/16/2025 as of 10/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.01"
"10/02/2025","Tax Withhold","NVDA","NVIDIA CORP","","","","-$0.52"
"10/02/2025","Qualified Dividend","NVDA","NVIDIA CORP","","","","$2.15"
"10/01/2025","Tax Withhold","VOO","VANGUARD S&P ...500 ETF","","","","-$8.77"
"10/01/2025","Cash Dividend","VOO","VANGUARD S&P ...500 ETF","","","","$36.54"
"09/29/2025","Tax Withhold","META","META PLATFORMS INC CLASS A","","","","-$8.82"
"09/29/2025","Qualified Dividend","META","META PLATFORMS INC CLASS A","","","","$36.75"
"09/16/2025 as of 09/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.02"
"09/12/2025","Buy","AAPL","APPLE INC","2","$234.34","","-$468.68"
"08/22/2025","Journal","","TRANSFER FUNDS FROM SCHWAB BANK - ...196","","","","$60.00"
"08/18/2025 as of 08/15/2025","Stock Plan Activity","META","META PLATFORMS INC CLASS A","12","","",""
"08/18/2025 as of 08/15/2025","Stock Plan Activity","META","META PLATFORMS INC CLASS A","2","","",""
"08/18/2025 as of 08/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.02"
"08/15/2025","Tax Withhold","COST","COSTCO WHSL CORP NEW","","","","-$1.87"
"08/15/2025","Qualified Dividend","COST","COSTCO WHSL CORP NEW","","","","$7.80"
"07/31/2025","Tax Withhold","QQQ","INVESCO QQQ ETF","","","","-$4.11"
"07/31/2025","Cash Dividend","QQQ","INVESCO QQQ ETF","","","","$17.14"
"07/16/2025 as of 07/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.02"
"07/03/2025","Tax Withhold","NVDA","NVIDIA CORP","","","","-$0.52"
"07/03/2025","Qualified Dividend","NVDA","NVIDIA CORP","","","","$2.15"
"07/02/2025","Tax Withhold","VOO","VANGUARD S&P ...500 ETF","","","","-$8.79"
"07/02/2025","Cash Dividend","VOO","VANGUARD S&P ...500 ETF","","","","$36.64"
"06/26/2025","Tax Withhold","META","META PLATFORMS INC CLASS A","","","","-$7.06"
"06/26/2025","Qualified Dividend","META","META PLATFORMS INC CLASS A","","","","$29.40"
"06/16/2025 as of 06/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.02"
"05/16/2025 as of 05/15/2025","Stock Plan Activity","META","META PLATFORMS INC CLASS A","12","","",""
"05/16/2025 as of 05/15/2025","Stock Plan Activity","META","META PLATFORMS INC CLASS A","1","","",""
"05/16/2025","Tax Withhold","COST","COSTCO WHSL CORP NEW","","","","-$1.87"
"05/16/2025","Qualified Dividend","COST","COSTCO WHSL CORP NEW","","","","$7.80"
"05/16/2025 as of 05/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.02"
"04/30/2025","Tax Withhold","QQQ","INVESCO QQQ TRUST","","","","-$4.98"
"04/30/2025","Cash Dividend","QQQ","INVESCO QQQ TRUST","","","","$20.76"
"04/16/2025 as of 04/15/2025","Schwab Bank Int Adj","","BANK INT ...525","","","","-$0.01"
"04/16/2025 as of 04/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.06"
"04/02/2025","Buy","COST","COSTCO WHSL CORP NEW","5","$970.40","","-$4852.00"
"04/02/2025","Tax Withhold","NVDA","NVIDIA CORP","","","","-$0.52"
"04/02/2025","Qualified Dividend","NVDA","NVIDIA CORP","","","","$2.15"
"03/31/2025","Tax Withhold","VOO","VANGUARD S&P ...500 ETF","","","","-$9.13"
"03/31/2025","Cash Dividend","VOO","VANGUARD S&P ...500 ETF","","","","$38.05"
"03/28/2025 as of 03/27/2025","MoneyLink Transfer","","Tfr JPMorgan Chase Ban","","","","$5000.00"
"03/26/2025","Tax Withhold","META","META PLATFORMS INC CLASS A","","","","-$5.42"
"03/26/2025","Qualified Dividend","META","META PLATFORMS INC CLASS A","","","","$22.58"
"03/17/2025 as of 03/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.01"
"02/21/2025","Tax Withhold","COST","COSTCO WHSL CORP NEW","","","","-$0.28"
