"SWVXX Lot Details for  ...056 as of 11:42 AM ET, 07/23/2026","","","","","","","",""
"","","","","","","","",""
"Open Date","Quantity","Price","Cost/Share","Market Value","Cost Basis","Gain/Loss ($)","Gain/Loss (%)","Holding Period"
"06/30/2026","49.22","$1.00","$1.00","$49.22","$49.22","$0.00","0%","Short Term"
"05/29/2026","50.38","$1.00","$1.00","$50.38","$50.38","$0.00","0%","Short Term"
"04/30/2026","49.06","$1.00","$1.00","$49.06","$49.06","$0.00","0%","Short Term"
"03/31/2026","49.03","$1.00","$1.00","$49.03","$49.03","$0.00","0%","Short Term"
"02/27/2026","45.92","$1.00","$1.00","$45.92","$45.92","$0.00","0%","Short Term"
"01/30/2026","62.33","$1.00","$1.00","$62.33","$62.33","$0.00","0%","Short Term"
"01/30/2026","4.92","$1.00","$1.00","$4.92","$4.92","$0.00","0%","Short Term"
"12/31/2025","102.62","$1.00","$1.00","$102.62","$102.62","$0.00","0%","Short Term"
"12/31/2025","0.04","$1.00","$1.00","$0.04","$0.04","$0.00","0%","Short Term"
"11/28/2025","93.43","$1.00","$1.00","$93.43","$93.43","$0.00","0%","Short Term"
"10/31/2025","115.2","$1.00","$1.00","$115.2","$115.2","$0.00","0%","Short Term"
"09/30/2025","103.56","$1.00","$1.00","$103.56","$103.56","$0.00","0%","Short Term"
"08/29/2025","115.46","$1.00","$1.00","$115.46","$115.46","$0.00","0%","Short Term"
"07/31/2025","117.63","$1.00","$1.00","$117.63","$117.63","$0.00","0%","Short Term"
"06/30/2025","10,000","$1.00","$1.00","$10000.00","$10000.00","$0.00","0%","Long Term"
"06/30/2025","101.82","$1.00","$1.00","$101.82","$101.82","$0.00","0%","Long Term"
"06/27/2025","800","$1.00","$1.00","$800.00","$800.00","$0.00","0%","Long Term"
"05/30/2025","112.12","$1.00","$1.00","$112.12","$112.12","$0.00","0%","Long Term"
"04/30/2025","105.49","$1.00","$1.00","$105.49","$105.49","$0.00","0%","Long Term"
"03/31/2025","101.63","$1.00","$1.00","$101.63","$101.63","$0.00","0%","Long Term"
"02/28/2025","99.81","$1.00","$1.00","$99.81","$99.81","$0.00","0%","Long Term"
"01/31/2025","154.62","$1.00","$1.00","$154.62","$154.62","$0.00","0%","Long Term"
"12/31/2024","184.94","$1.00","$1.00","$184.94","$184.94","$0.00","0%","Long Term"
"12/31/2024","0.02","$1.00","$1.00","$0.02","$0.02","$0.00","0%","Long Term"
"11/29/2024","222.63","$1.00","$1.00","$222.63","$222.63","$0.00","0%","Long Term"
"10/31/2024","119.1","$1.00","$1.00","$119.1","$119.1","$0.00","0%","Long Term"
"10/15/2024","232.99","$1.00","$1.00","$232.99","$232.99","$0.00","0%","Long Term"
"09/16/2024","275.55","$1.00","$1.00","$275.55","$275.55","$0.00","0%","Long Term"
"08/15/2024","267.03","$1.00","$1.00","$267.03","$267.03","$0.00","0%","Long Term"
"07/15/2024","240.46","$1.00","$1.00","$240.46","$240.46","$0.00","0%","Long Term"
"06/17/2024","231.54","$1.00","$1.00","$231.54","$231.54","$0.00","0%","Long Term"
"05/21/2024","8,502.4","$1.00","$1.00","$8502.4","$8502.4","$0.00","0%","Long Term"
"Total","22,710.95","--","$1.00","$22710.95","$22710.95","N/A","N/A","--"
