"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"07/10/2026","Tax Withhold","QQQ","INVESCO QQQ TR","","","","-$5.08"
"07/10/2026","Cash Dividend","QQQ","INVESCO QQQ TR","","","","$21.15"
"06/30/2026","Tax Withhold","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","-$15.54"
"06/30/2026","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$64.76"
"06/30/2026","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","49.22","$1.00","","-$49.22"
"06/30/2026","Reinvest Shares","VOO","VANGUARD S&P ...500 ETF","0.0614","$686.4199","","-$42.13"
"06/30/2026","Tax Withhold","VOO","VANGUARD S&P ...500 ETF","","","","-$13.30"
"06/30/2026","Reinvest Dividend","VOO","VANGUARD S&P ...500 ETF","","","","$55.43"
"06/26/2026","Tax Withhold","NVDA","NVIDIA CORP","","","","-$3.60"
"06/26/2026","Qualified Dividend","NVDA","NVIDIA CORP","","","","$15.00"
"05/29/2026","Tax Withhold","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","-$15.91"
"05/29/2026","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$66.29"
"05/29/2026","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","50.38","$1.00","","-$50.38"
"05/19/2026","Buy","INTC","INTEL CORP","50","$112.41","","-$5620.50"
"05/19/2026","Buy","INTC","INTEL CORP","100","$103.20","","-$10320.00"
"05/19/2026","Buy","INTC","INTEL CORP","103","$103.62","","-$10672.86"
"05/19/2026","Sell","INTC","INTEL CORP","340","$105.02","$0.81","$35705.99"
"04/30/2026","Tax Withhold","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","-$15.49"
"04/30/2026","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$64.55"
"04/30/2026","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","49.06","$1.00","","-$49.06"
"04/30/2026","Buy","NVDA","NVIDIA CORP","27","$200.89","","-$5424.03"
"04/14/2026","Sell","COST","COSTCO WHSL CORP NEW","6","$973.53","$0.12","$5841.06"
"04/01/2026","Tax Withhold","NVDA","NVIDIA CORP","","","","-$0.08"
"04/01/2026","Qualified Dividend","NVDA","NVIDIA CORP","","","","$0.33"
"03/31/2026","Tax Withhold","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","-$15.48"
"03/31/2026","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$64.51"
"03/31/2026","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","49.03","$1.00","","-$49.03"
"03/31/2026","Reinvest Shares","VOO","VANGUARD S&P ...500 ETF","0.068","$589.73","","-$40.10"
"03/31/2026","Tax Withhold","VOO","VANGUARD S&P ...500 ETF","","","","-$12.66"
"03/31/2026","Reinvest Dividend","VOO","VANGUARD S&P ...500 ETF","","","","$52.76"
"03/27/2026","Tax Withhold","QQQ","INVESCO QQQ TR","","","","-$4.57"
"03/27/2026","Cash Dividend","QQQ","INVESCO QQQ TR","","","","$19.05"
"03/02/2026","Buy","NVDA","NVIDIA CORP","22","$181.015","","-$3982.33"
"02/27/2026","Tax Withhold","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","-$14.50"
"02/27/2026","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$60.42"
"02/27/2026","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","45.92","$1.00","","-$45.92"
"02/13/2026","Tax Withhold","COST","COSTCO WHSL CORP NEW","","","","-$1.87"
"02/13/2026","Qualified Dividend","COST","COSTCO WHSL CORP NEW","","","","$7.80"
"02/04/2026","Buy","NVDA","NVIDIA CORP","11","$173.8565","","-$1912.42"
"01/30/2026","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$6.47"
"01/30/2026","Tax Withhold","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","-$1.55"
"01/30/2026","Tax Withhold","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","-$19.68"
"01/30/2026","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$82.01"
"01/30/2026","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","4.92","$1.00","","-$4.92"
"01/30/2026","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","62.33","$1.00","","-$62.33"
"01/30/2026","Sell","NVDA","NVIDIA CORP","25","$194.43","","$4860.75"
"01/29/2026","Credit Interest","","SCHWAB1 INT 12/30-01/28","","","","$0.01"
